Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
Fakultät Architektur und Urbanistik	Architektur- und Baugeschichte, Teil 1: Von den Anfängen bis zur Baukunst des Mittelalters	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50734&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	2	deutsch	Mo.	Hans-Rudolf Meier :3 S: Kirsten Angermann
missing	Master-Thesis WiSe 2021/22	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51588&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	missing	deutsch/englisch	missing	missing
Fakultät Kunst und Gestaltung	Fertig Machen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51526&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	4	deutsch/englisch	Mo.	Elena Zieser :3 S: Jason Langheim
missing	Besuch von Weimarer Firmen und Kultureinrichtungen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50706&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Informationsveranstaltung	missing	deutsch	Mi.	missing
missing	Freies Projekt	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50310&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	18	deutsch	Fr.	Andreas Mühlenberend :3 S: Gerrit Babtist :3 S: Wolfgang Sattler
missing	Introduction to the SCC	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50696&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Informationsveranstaltung	missing	englisch	Do.	missing
Fakultät Medien	Bildgewalt	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51355&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Plenum	4	deutsch	Fr.	Jan Völker
Lehrveranstaltungen der Bauhaus.Module	Alles eine Frage der Haltung? (Dokumentarfilmprojekt)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51709&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	16	deutsch/englisch	Di.	keine öffentliche Person :3 S: Maria Rauch :3 S: Wolfgang Kissel :3 S: Nicola Hens
Fakultät Bauingenieurwesen	Grundlagen FEM	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50840&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Übung	2	deutsch	Do.	Andreas Plotzitza
Lehrveranstaltungen der Bauhaus.Module	"        Lehm versteh'n - Einzelansicht        "	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51455&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	4	deutsch	Fr.	Larissa Daube :3 S: Jürgen Ruth
Fakultät Medien	Master-Kolloquium Organisation und vernetzte Medien	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50648&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	1	deutsch	Di.	Christopher Buschow
Fakultät Kunst und Gestaltung	Handlungsstrategien und Techniken für ein Shared Habitat	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51417&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	16	englisch	Di.	Ursula Damm
Lehrveranstaltungen der Bauhaus.Module	Care and Empowerment through textile art in the Americas and beyond	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51560&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Wissenschaftliches Modul	6	englisch	missing	N.N. :3 S: Alexandra Toland
Fakultät Kunst und Gestaltung	Complaint!ivism?	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51597&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Wissenschaftliches Modul	2	deutsch/englisch	Mi.	N.N. :3 S: Alexandra Toland :3 S: keine öffentliche Person
Fakultät Kunst und Gestaltung	Animation	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51792&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	16	deutsch/englisch	missing	keine öffentliche Person :3 S: Franka Sachse
Fakultät Kunst und Gestaltung	Critical VR Lab II	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51547&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	4	englisch	Fr.	Jörg Brinkmann
Fakultät Medien	Biologie der Technik	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51271&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Mo.	Benjamin Prinz
Fakultät Bauingenieurwesen	Einführung in den Brückenbau	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50686&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	4	deutsch	Di.	Guido Morgenthal :3 S: Sebastian Rau :3 S: Marcel Helmrich
Fakultät Medien	Bruno Latour: Wir sind nie modern gewesen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51272&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Di.	Moritz Hiller
missing	Baumassnahmen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51217&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	missing	missing	missing
Fakultät Kunst und Gestaltung	3D Animation II - Aufbaukurs	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51456&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	6	deutsch/englisch	Mo.	N.N. :3 S: Jörn Hintzer :3 S: Jakob Hüfner :3 S: keine öffentliche Person
Fakultät Medien	Extraction of main content and metadata from web crawls	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51503&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	10	englisch	missing	Benno Stein :3 S: Janek Bevendorff :3 S: Erik Körner
Fakultät Kunst und Gestaltung	Bachelor Kolloquium Multimediales Erzählen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50507&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	2	deutsch	Do.	keine öffentliche Person :3 S: Walter Bauer-Wabnegg
Fakultät Bauingenieurwesen	Materialwissenschaft	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50860&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	5	deutsch	Mi.	Frank Bellmann :3 S: Jens Schneider
Fakultät Kunst und Gestaltung	Lehrfilm/ Podcast/E-Lecture (FD 1/3)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51393&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Wissenschaftliches Modul	2	deutsch	Do.	Andrea Dreyer :3 S: keine öffentliche Person
Fakultät Bauingenieurwesen	Microscopic traffic simulation	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50966&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Do.	Uwe Plank-Wiedenbeck
Fakultät Kunst und Gestaltung	Arbeiten zur Präsentation zum Berufseinstieg	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50459&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Berufsvorbereitungsmodul	2	deutsch	missing	keine öffentliche Person :3 S: Wolfgang Sattler :3 S: Gerrit Babtist :3 S: Andreas Mühlenberend
Fakultät Medien	Academic English Part One	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50539&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kurs	2	englisch	Di.	Geoffrey Atkinson
Fakultät Kunst und Gestaltung	Master-Kolloquium Experimentelles Radio	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51523&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	2	deutsch/englisch	Di.	keine öffentliche Person :3 S: Nathalie Singer
Fakultät Bauingenieurwesen	Mathematics for risk management (MBM) - Exercices	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50955&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Übung	1	englisch	Fr.	Tom Lahmer :3 S: Natalie von Butler :3 S: Simon Marwitz
Fakultät Architektur und Urbanistik	Klimalabor Ackerbürgerscheune	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51786&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	8	missing	Do.	Conrad Völker
