imdbId,tmdbId,title,originalTitle,releaseDate,runtime,genres,productionCountries,originalLanguage,spokenLanguages,budget,revenue,imdbRating,imdbVotes,tmdbRating,tmdbVotes,tmdbPopularity,overview,tagline
tt0113101,5,Four Rooms,Four Rooms,1995-12-09,98,"Crime,Comedy",US,en,en,4000000,4257354,6.8,98635,5.7,1910,15.109,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
tt0076759,11,Star Wars,Star Wars,1977-05-25,121,"Adventure,Action,Science Fiction",US,en,en,11000000,775398007,8.6,1237313,8.2,15309,63.131,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away..."
tt0266543,12,Finding Nemo,Finding Nemo,2003-05-30,100,"Animation,Family",US,en,en,94000000,940335536,8.1,953981,7.8,14796,64.15,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.
tt0109830,13,Forrest Gump,Forrest Gump,1994-07-06,142,"Comedy,Drama,Romance",US,en,en,55000000,677387716,8.8,1821572,8.5,20216,43.299,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Life is like a box of chocolates...you never know what you're gonna get.
tt0169547,14,American Beauty,American Beauty,1999-09-15,122,Drama,US,en,en,15000000,356296601,8.3,1074374,8.0,9108,25.13,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Look closer.
tt0033467,15,Citizen Kane,Citizen Kane,1941-04-17,119,"Mystery,Drama",US,en,en,839727,23218000,8.3,405955,8.1,3720,20.932,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",It's terrific!
tt0168629,16,Dancer in the Dark,Dancer in the Dark,2000-05-17,141,"Drama,Crime","AR,DK,FI,FR,DE,IS,IT,NL,NO,SE,GB,US",en,en,12800000,40031879,8.0,102734,7.9,1181,20.019,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",You don't need eyes to see.
tt0119116,18,The Fifth Element,The Fifth Element,1997-05-02,126,"Adventure,Fantasy,Action,Thriller,Science Fiction",FR,en,"en,sv,de",90000000,263920180,7.7,435875,7.5,8072,32.21,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.
tt0017136,19,Metropolis,Metropolis,1927-02-06,149,"Drama,Science Fiction",DE,de,"xx,de",1300000,650422,8.3,160894,8.2,1740,13.697,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",There can be no understanding between the hands and the brain unless the heart acts as mediator.
tt0325980,22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,143,"Adventure,Fantasy,Action",US,en,en,140000000,655011224,8.0,1018355,7.7,15749,59.776,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",Prepare to be blown out of the water.
tt0266697,24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003-10-10,111,"Action,Crime",US,en,"en,ja,fr",30000000,180899265,8.1,1005892,8.0,13014,35.479,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",A roaring rampage of revenge.
tt0418763,25,Jarhead,Jarhead,2005-11-04,123,"Drama,War","DE,US",en,"en,es,ar,la",72000000,96889998,7.0,176083,6.6,1965,21.568,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Welcome to the suck.
tt0078788,28,Apocalypse Now,Apocalypse Now,1979-08-15,147,"Drama,War",US,en,"km,en,fr,vi",31500000,150000000,8.4,609708,8.3,5665,23.818,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",This is the end...
tt0105695,33,Unforgiven,Unforgiven,1992-08-07,130,Western,US,en,en,14400000,159157447,8.2,377749,7.9,2856,20.68,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Some legends will never be forgotten. Some wrongs can never be forgiven.
tt0462538,35,The Simpsons Movie,The Simpsons Movie,2007-07-25,87,"Animation,Comedy,Family",US,en,en,75000000,527068851,7.3,309712,7.0,6053,74.466,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",See our family. And feel better about yours.
tt0338013,38,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004-03-19,108,"Science Fiction,Drama,Romance",US,en,en,20000000,72258126,8.3,916311,8.1,10809,34.876,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",You can erase someone from your mind. Getting them out of your heart is another story.
tt0245712,55,Amores Perros,Amores perros,2000-06-16,154,"Drama,Thriller",MX,es,es,2000000,20908467,8.1,224705,7.6,1637,19.466,"A fatalistic car crash in Mexico City sets off a chain of events in the lives of three persons: a young man aching to run off with his sister-in-law, a supermodel, and a homeless man. Their lives are catapulted into unforeseen circumstances instigated by the seemingly inconsequential destiny of a dog.",Love. Betrayal. Death.
tt0383574,58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,151,"Adventure,Fantasy,Action",US,en,"en,tr,el,zh",200000000,1065659812,7.3,657745,7.3,12032,70.619,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,Captain Jack is back!
tt0399146,59,A History of Violence,A History of Violence,2005-09-23,96,"Drama,Thriller,Crime","US,CA,DE",en,en,32000000,60740827,7.4,224595,7.2,2154,18.732,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,Tom Stall had the perfect life … until he became a hero.
tt0062622,62,2001: A Space Odyssey,2001: A Space Odyssey,1968-04-02,149,"Science Fiction,Mystery,Adventure","GB,US",en,"en,ru",12000000,71923560,8.3,606768,8.1,8237,25.883,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",The Ultimate Trip.
tt0114746,63,Twelve Monkeys,Twelve Monkeys,1995-12-29,129,"Science Fiction,Thriller,Mystery",US,en,"en,fr",29000000,168841459,8.0,580662,7.6,5994,22.966,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",The future is history.
tt0287467,64,Talk to Her,Hable con ella,2002-03-14,112,"Drama,Romance",ES,es,es,0,51001550,7.9,105012,7.6,828,16.03,Two men share an odd friendship while they care for two women who are both in deep comas.,
tt0298203,65,8 Mile,8 Mile,2002-11-08,110,"Music,Drama",US,en,en,41000000,242875078,7.1,250931,7.1,5106,32.569,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",Every Moment Is Another Chance
tt0118548,66,Absolute Power,Absolute Power,1997-02-14,121,"Crime,Drama,Action",US,en,"en,es",50000000,50068310,6.7,50829,6.6,666,13.635,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",Corrupts Absolutely.
tt0088846,68,Brazil,Brazil,1985-02-20,143,"Comedy,Science Fiction","GB,US",en,en,15000000,0,7.9,188239,7.7,2283,14.235,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",It's only a state of mind.
tt0358273,69,Walk the Line,Walk the Line,2005-09-13,136,"Drama,Music,Romance","DE,US",en,"en,ru",28000000,186438883,7.8,235145,7.5,1994,17.033,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",Love is a burning thing.
tt0405159,70,Million Dollar Baby,Million Dollar Baby,2004-12-15,132,Drama,US,en,"en,ga",30000000,216763646,8.1,638936,8.0,6862,22.901,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love."
tt0249462,71,Billy Elliot,Billy Elliot,2000-05-18,110,"Drama,Comedy,Music","FR,GB",en,en,5000000,109280263,7.7,127265,7.6,2849,13.716,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",Inside every one of us is a special talent waiting to come out. The trick is finding it.
tt0120586,73,American History X,American History X,1998-10-30,119,Drama,US,en,en,20000000,23875127,8.5,1039201,8.4,8476,30.199,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Some Legacies Must End.
tt0407304,74,War of the Worlds,War of the Worlds,2005-06-28,117,"Adventure,Thriller,Science Fiction",US,en,en,132000000,603873119,6.5,417384,6.4,6082,26.214,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",They're already here.
tt0116996,75,Mars Attacks!,Mars Attacks!,1996-12-12,106,"Comedy,Fantasy,Science Fiction",US,en,"en,fr",70000000,101371017,6.3,210943,6.3,3959,21.001,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",Nice planet. We'll take it!
tt0112471,76,Before Sunrise,Before Sunrise,1995-01-27,101,"Drama,Romance","AT,CH,US",en,"en,de,fr",2500000,5535405,8.1,274299,7.9,2692,18.293,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",Can the greatest romance of your life last only one night?
tt0209144,77,Memento,Memento,2000-10-11,113,"Mystery,Thriller",US,en,en,9000000,39723096,8.4,1131329,8.2,10793,26.897,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",Some memories are best forgotten.
tt0083658,78,Blade Runner,Blade Runner,1982-06-25,117,"Science Fiction,Drama,Thriller","US,HK,GB",en,"en,de,cn,ja,hu",28000000,41670166,8.1,697032,7.9,10180,29.864,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Man has made his match... now it's his problem.
tt0299977,79,Hero,英雄,2002-07-22,99,"Drama,Adventure,Action,History",CN,zh,zh,31000000,177394432,7.9,174362,7.5,1535,18.518,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,One man's strength will unite an empire.
